CÓDIGO DE PARADA;PARADA;COORENADA X;COORDENADA Y;LÍNEA-DESTINO;;
691;Avenida Gijón 71 Cementerio de las Contiendas;-4,757004;41,659865;5-Entrepinos;;
688;Avenida Gijón 82 frente calle Chopos;-4,751633;41,660759;25-Cementerio de las Contiendas;;
688;Avenida Gijón 82 frente calle Chopos;-4,751633;41,660759;5-Cementerio de las Contiendas  ;;
694;Avenida Gijón colegio Cristo Rey;-4,745792;41,660814;10-La Victoria;;
694;Avenida Gijón colegio Cristo Rey;-4,745792;41,660814;25-Entrepinos ;;
694;Avenida Gijón colegio Cristo Rey;-4,745792;41,660814;5-Entrepinos;;
694;Avenida Gijón colegio Cristo Rey;-4,745792;41,660814;B2-La Victoria;;
694;Avenida Gijón colegio Cristo Rey;-4,745792;41,660814;C2-Parquesol ;;
693;Avenida Gijón esquina calle Enseñanza;-4,747117;41,660750;10-La Victoria;;
693;Avenida Gijón esquina calle Enseñanza;-4,747117;41,660750;25-Entrepinos ;;
693;Avenida Gijón esquina calle Enseñanza;-4,747117;41,660750;5-Entrepinos;;
693;Avenida Gijón esquina calle Enseñanza;-4,747117;41,660750;B2-La Victoria;;
693;Avenida Gijón esquina calle Enseñanza;-4,747117;41,660750;C2-Parquesol ;;
690;Avenida Gijón frente calle Júpiter;-4,737049;41,660750;6-La Victoria ;;
690;Avenida Gijón frente calle Júpiter;-4,737049;41,660750;B2-La Victoria;;
690;Avenida Gijón frente calle Júpiter;-4,737049;41,660750;C2-Parquesol ;;
687;Avenida Gijón frente colegio Cristo Rey;-4,745357;41,661029;10-Parquesol;;
687;Avenida Gijón frente colegio Cristo Rey;-4,745357;41,661029;25-Cementerio de las Contiendas;;
687;Avenida Gijón frente colegio Cristo Rey;-4,745357;41,661029;5-Cementerio de las Contiendas  ;;
687;Avenida Gijón frente colegio Cristo Rey;-4,745357;41,661029;B2-Delicias;;
687;Avenida Gijón frente colegio Cristo Rey;-4,745357;41,661029;C1-Parquesol;;
687;Avenida Gijón frente colegio Cristo Rey;-4,745357;41,661029;M4-Plaza España ;;
687;Avenida Gijón frente colegio Cristo Rey;-4,745357;41,661029;P3-Polígono San Cristóbal;;
571;Avenida José Luis Arrese 10, esquina Avenida Salamanca;-4,738312;41,650708;10-La Victoria;;
