;;;;;;;;
;;;;;;;;
;;;;;;;;
 ;;;;;;;;
;;;;;;;;
;Cifras oficiales de población a 1 de enero de 2015;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;       ;;;;;;;
;Valladolid;;;303.905;;;;
;Provincia de Valladolid;;;526.288;;;;
;Castilla y León;;;2.472.052;;;;
;España  ;;;46.624.382;;;;
;;;;;;;;
; ;;;;;;;
;;;;;;;;
;Fuente: Instituto Nacional de Estadística (I.N.E.).;;;;;;;
; ;;;;;;;
;;;;;;;;
